epoch,train_loss,test_loss
1,166.32746455078126,129.45843615722657
2,122.72731598307291,116.70560583496093
3,114.66417485351562,111.09134682617187
4,110.482573046875,108.07461522216796
5,107.98441472981771,106.67765590820312
6,106.44246772460937,104.9453103515625
7,105.37375001627605,104.34831861572266
8,104.45319453125,103.69521977539063
9,103.71330340169271,102.79606905517578
10,103.1012880859375,102.37070258789062
11,102.64039534505208,102.26403237304687
12,102.19230408528645,101.82885568847657
13,101.75954064127605,101.74542453613282
14,101.42365074869792,101.06007214355469
15,101.14254052734375,101.02236800537109
16,100.87825517578125,100.96439138183594
17,100.58675151367187,100.30857353515626
18,100.39051329752604,100.48767055664062
19,100.20748333333333,100.62637822265626
20,99.9661453125,100.3245502319336
21,99.87528452148437,99.971415625
22,99.65045802408854,99.82042888183594
23,99.51901743164062,99.62810274658203
24,99.38058315429687,99.757236328125
25,99.20026904296876,99.69070168457031
26,99.1335458984375,99.702834375
27,98.96114672851563,99.38230673828124
28,98.84344676106771,99.2827947265625
29,98.77194295247396,99.13912702636719
30,98.7108453938802,99.22431948242188
31,98.55065872395834,99.02152770996094
32,98.48996818033854,99.08848259277343
33,98.3652993001302,98.84464022216797
34,98.33039178059896,98.99058825683593
35,98.19265628255208,98.70531030273438
36,98.11723527018229,98.72662462158203
37,98.0488942220052,98.69674438476562
38,97.97177014973958,98.74813334960938
39,97.91569736328125,98.64152412109375
40,97.8568453125,98.41404533691406
41,97.83609936523438,98.65760870361328
42,97.74439197591146,98.61188623046876
43,97.68365815429688,98.6081021484375
44,97.61006617838542,98.52871019287109
45,97.55253579101563,98.36235085449219
46,97.51764690755208,98.43005676269532
47,97.46828727213541,98.13023526611327
48,97.40204944661458,98.40111336669922
49,97.3843203938802,98.39966345214843
50,97.31886232096355,98.18702532958984
